"source","target","weight","type"
1,2,0.155555555555556,"Undirected"
1,3,0.146341463414634,"Undirected"
1,4,0.142857142857143,"Undirected"
1,5,0.290322580645161,"Undirected"
1,6,0.258064516129032,"Undirected"
1,7,0.291666666666667,"Undirected"
1,8,0.307692307692308,"Undirected"
1,9,0.266666666666667,"Undirected"
1,10,0.148148148148148,"Undirected"
1,11,0.304347826086957,"Undirected"
1,12,0.107142857142857,"Undirected"
1,13,0.303030303030303,"Undirected"
2,3,0.104166666666667,"Undirected"
2,4,0.169811320754717,"Undirected"
2,5,0.0952380952380952,"Undirected"
2,6,0.0714285714285714,"Undirected"
2,7,0.0882352941176471,"Undirected"
2,8,0.0526315789473684,"Undirected"
2,9,0.128205128205128,"Undirected"
2,10,0.121212121212121,"Undirected"
2,11,0.0588235294117647,"Undirected"
2,12,0.0882352941176471,"Undirected"
2,13,0.13953488372093,"Undirected"
3,4,0.117647058823529,"Undirected"
3,5,0.108108108108108,"Undirected"
3,6,0.212121212121212,"Undirected"
3,7,0.103448275862069,"Undirected"
3,8,0.0606060606060606,"Undirected"
3,9,0.0540540540540541,"Undirected"
3,10,0.142857142857143,"Undirected"
3,11,0.107142857142857,"Undirected"
3,12,0.0666666666666667,"Undirected"
3,13,0.128205128205128,"Undirected"
4,5,0.162790697674419,"Undirected"
4,6,0.113636363636364,"Undirected"
4,7,0.108108108108108,"Undirected"
4,8,0.157894736842105,"Undirected"
4,9,0.0434782608695652,"Undirected"
4,10,0.108108108108108,"Undirected"
4,11,0.142857142857143,"Undirected"
4,12,0.108108108108108,"Undirected"
4,13,0.0816326530612245,"Undirected"
5,6,0.222222222222222,"Undirected"
5,7,0.25,"Undirected"
5,8,0.333333333333333,"Undirected"
5,9,0.142857142857143,"Undirected"
5,10,0.136363636363636,"Undirected"
5,11,0.263157894736842,"Undirected"
5,12,0.19047619047619,"Undirected"
5,13,0.193548387096774,"Undirected"
6,7,0.2,"Undirected"
6,8,0.173913043478261,"Undirected"
6,9,0.148148148148148,"Undirected"
6,10,0.0909090909090909,"Undirected"
6,11,0.15,"Undirected"
6,12,0.142857142857143,"Undirected"
6,13,0.125,"Undirected"
7,8,0.1875,"Undirected"
7,9,0.210526315789474,"Undirected"
7,10,0.333333333333333,"Undirected"
7,11,0.25,"Undirected"
7,12,0.142857142857143,"Undirected"
7,13,0.217391304347826,"Undirected"
8,9,0.0833333333333333,"Undirected"
8,10,0.117647058823529,"Undirected"
8,11,0.384615384615385,"Undirected"
8,12,0.117647058823529,"Undirected"
8,13,0.148148148148148,"Undirected"
9,10,0.0454545454545455,"Undirected"
9,11,0.1,"Undirected"
9,12,0.0454545454545455,"Undirected"
9,13,0.25,"Undirected"
10,11,0.25,"Undirected"
10,12,0.142857142857143,"Undirected"
10,13,0.12,"Undirected"
11,12,0.0714285714285714,"Undirected"
11,13,0.173913043478261,"Undirected"
12,13,0.0769230769230769,"Undirected"
